Date,Price,Open,High,Low,Volume,Change %
12/14/2021,"1,264.50","1,252.25","1,271.75","1,243.50",75.91K,1.10%
12/13/2021,"1,250.75","1,277.50","1,277.50","1,250.00",78.31K,-1.84%
12/10/2021,"1,274.25","1,272.00","1,284.00","1,267.25",87.90K,0.16%
12/09/2021,"1,272.25","1,268.00","1,275.00","1,255.25",81.08K,0.28%
12/08/2021,"1,268.75","1,260.25","1,271.75","1,246.75",81.30K,0.83%
12/07/2021,"1,258.25","1,267.25","1,275.50","1,252.00",133.88K,-0.65%
12/06/2021,"1,266.50","1,276.25","1,278.75","1,259.50",52.04K,-0.37%
12/03/2021,"1,271.25","1,250.25","1,274.75","1,250.25",54.81K,1.70%
12/02/2021,"1,250.00","1,236.25","1,255.25","1,228.50",53.70K,1.21%
12/01/2021,"1,235.00","1,231.25","1,244.00","1,223.50",60.57K,0.69%
11/30/2021,"1,226.50","1,252.00","1,255.00","1,224.00",69.78K,-2.04%
11/29/2021,"1,252.00","1,270.25","1,278.75","1,251.25",36.41K,-0.87%
11/26/2021,"1,263.00","1,264.50","1,264.50","1,251.00",39.39K,-1.12%
11/24/2021,"1,277.25","1,285.50","1,292.00","1,274.25",30.07K,-0.56%
11/23/2021,"1,284.50","1,286.00","1,291.00","1,274.50",30.43K,-0.14%
11/22/2021,"1,286.25","1,275.50","1,291.00","1,271.75",28.38K,0.88%
11/19/2021,"1,275.00","1,277.75","1,288.25","1,268.25",38.42K,-0.12%
11/18/2021,"1,276.50","1,287.75","1,298.25","1,274.25",53.05K,-0.91%
11/17/2021,"1,288.25","1,263.50","1,300.50","1,262.50",68.46K,1.98%
11/16/2021,"1,263.25","1,267.25","1,273.00","1,260.50",32.33K,-0.43%
11/15/2021,"1,268.75","1,254.00","1,270.75","1,250.25",36.68K,1.97%
11/12/2021,"1,244.25","1,221.50","1,249.75","1,220.50",104.15K,1.86%
11/11/2021,"1,221.50","1,216.75","1,228.25","1,212.00",78.39K,0.39%
11/10/2021,"1,216.75","1,212.00","1,222.50","1,208.50",89.60K,0.39%
11/09/2021,"1,212.00","1,187.75","1,240.75","1,181.25",148.53K,1.98%
